run_tag,threshold,accuracy,precision,recall_sensitivity,specificity,false_positive_rate,false_negative_rate,f1,tn,fp,fn,tp,roc_auc,pr_auc,brier,log_loss,n,prevalence,split,model,prob_col,threshold_type,target_recall,threshold_source,threshold_constraint_met_on_source
main,0.341127872467041,0.7838983050847458,0.6,0.782608695652174,0.7844311376775789,0.21556886226254077,0.21739130431632012,0.6792452830188679,131,36,15,54,0.8612340536318668,0.7551260722616244,0.13410682535945034,0.4282933057055019,236,0.2923728813559322,test_image,image_raw,prob_image_raw,min_fpr_recall_0.80,0.8,threshold_split,True
main,0.18115149438381195,0.6991525423728814,0.4921875,0.9130434782608695,0.6107784430771989,0.38922155686292087,0.08695652172652805,0.6395939086294417,102,65,6,63,0.8612340536318668,0.7551260722616244,0.13410682535945034,0.4282933057055019,236,0.2923728813559322,test_image,image_raw,prob_image_raw,min_fpr_recall_0.85,0.85,threshold_split,True
main,0.13049283623695374,0.635593220338983,0.4413793103448276,0.927536231884058,0.5149700598494029,0.48502994009071676,0.07246376810544004,0.5981308411214953,86,81,5,64,0.8612340536318668,0.7551260722616244,0.13410682535945034,0.4282933057055019,236,0.2923728813559322,test_image,image_raw,prob_image_raw,min_fpr_recall_0.90,0.9,threshold_split,True
main,0.2536766067020463,0.7838983050847458,0.6,0.782608695652174,0.7844311376775789,0.21556886226254077,0.21739130431632012,0.6792452830188679,131,36,15,54,0.8612340536318668,0.7551260722616244,0.13022322529459476,0.41155359813465636,236,0.2923728813559322,test_image,image_calibrated,prob_image_cal,min_fpr_recall_0.80,0.8,threshold_split,True
main,0.15056809369402605,0.6991525423728814,0.4921875,0.9130434782608695,0.6107784430771989,0.38922155686292087,0.08695652172652805,0.6395939086294417,102,65,6,63,0.8612340536318668,0.7551260722616244,0.13022322529459476,0.41155359813465636,236,0.2923728813559322,test_image,image_calibrated,prob_image_cal,min_fpr_recall_0.85,0.85,threshold_split,True
main,0.11636940687464382,0.635593220338983,0.4413793103448276,0.927536231884058,0.5149700598494029,0.48502994009071676,0.07246376810544004,0.5981308411214953,86,81,5,64,0.8612340536318668,0.7551260722616244,0.13022322529459476,0.41155359813465636,236,0.2923728813559322,test_image,image_calibrated,prob_image_cal,min_fpr_recall_0.90,0.9,threshold_split,True
main,0.22544909821311102,0.423728813559322,0.31891891891891894,0.855072463768116,0.245508982021227,0.7544910179188927,0.1449275362108801,0.4645669291338583,41,126,10,59,0.637507593508635,0.4451438106354023,0.19572831775427887,0.5783664157302604,236,0.2923728813559322,test_image,text_calibrated,prob_text_cal,min_fpr_recall_0.80,0.8,threshold_split,True
main,0.1974423154238923,0.3474576271186441,0.3004694835680751,0.927536231884058,0.10778443113127038,0.8922155688088493,0.07246376810544004,0.45390070921985815,18,149,5,64,0.637507593508635,0.4451438106354023,0.19572831775427887,0.5783664157302604,236,0.2923728813559322,test_image,text_calibrated,prob_text_cal,min_fpr_recall_0.85,0.85,threshold_split,True
main,0.1974423154238923,0.3474576271186441,0.3004694835680751,0.927536231884058,0.10778443113127038,0.8922155688088493,0.07246376810544004,0.45390070921985815,18,149,5,64,0.637507593508635,0.4451438106354023,0.19572831775427887,0.5783664157302604,236,0.2923728813559322,test_image,text_calibrated,prob_text_cal,min_fpr_recall_0.90,0.9,threshold_split,True
main,0.2536766067020463,0.7838983050847458,0.6,0.782608695652174,0.7844311376775789,0.21556886226254077,0.21739130431632012,0.6792452830188679,131,36,15,54,0.8612340536318668,0.7551260722616244,0.13022322529459476,0.41155359813465636,236,0.2923728813559322,test_image,fusion_weighted,prob_fusion_weighted,min_fpr_recall_0.80,0.8,threshold_split,True
main,0.15056809369402605,0.6991525423728814,0.4921875,0.9130434782608695,0.6107784430771989,0.38922155686292087,0.08695652172652805,0.6395939086294417,102,65,6,63,0.8612340536318668,0.7551260722616244,0.13022322529459476,0.41155359813465636,236,0.2923728813559322,test_image,fusion_weighted,prob_fusion_weighted,min_fpr_recall_0.85,0.85,threshold_split,True
main,0.11636940687464382,0.635593220338983,0.4413793103448276,0.927536231884058,0.5149700598494029,0.48502994009071676,0.07246376810544004,0.5981308411214953,86,81,5,64,0.8612340536318668,0.7551260722616244,0.13022322529459476,0.41155359813465636,236,0.2923728813559322,test_image,fusion_weighted,prob_fusion_weighted,min_fpr_recall_0.90,0.9,threshold_split,True
main,0.47814317523648325,0.8008474576271186,0.6341463414634146,0.7536231884057971,0.8203592813880024,0.1796407185521173,0.24637681155849614,0.6887417218543046,137,30,17,52,0.8674824264514449,0.7695032996825185,0.1485495170849871,0.4675300700388027,236,0.2923728813559322,test_image,fusion_stack,prob_fusion_stack,min_fpr_recall_0.80,0.8,threshold_split,True
