model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,recall_mean,recall_std,fpr_mean,fpr_std,brier_mean,brier_std
fusion_stack,0.8576368135112442,0.017710897879425,0.7631328206920875,0.0212997876461235,0.8689092970521543,0.0484734973261457,0.3739466035162559,0.1046182195353489,0.1457458904342516,0.0103698336067484
fusion_weighted,0.8554767990480613,0.015090482785685,0.7552513971377387,0.0224654615484018,0.8731693121693122,0.0498748342370282,0.3919278641841791,0.1109490107054246,0.1295850203267957,0.0072337243400646
image_calibrated,0.8536546211136496,0.0153758331045465,0.7490543376239177,0.0165674169732546,0.8703938019652305,0.0409298277368004,0.3816157612449234,0.0849317427672143,0.1305231439207189,0.0078981296204529
image_raw,0.8536546211136496,0.0153758331045465,0.7490543376239177,0.0165674169732546,0.8703938019652305,0.0409298277368004,0.3816157612449234,0.0849317427672143,0.1495538496310312,0.008381297632946
text_calibrated,0.6367354002580298,0.0311123166223886,0.4239322822716424,0.0575348476669029,0.9074414210128496,0.0497419402990759,0.8228578198153633,0.0439986579193294,0.1957725197326186,0.007013794989869
